student_id,login_frequency,avg_study_duration,assignment_delay_days,forum_participation,quiz_score_avg,resource_access_count,missed_deadlines_pct,session_break_freq,burnout_risk
STU-01856,7,1.99,3.98,4,52.15,8,32.82,4.57,1
STU-02400,3,0.81,8.29,0,22.7,0,74.15,8.75,2
STU-00421,11,4.65,0.35,8,89.37,15,4.29,1.38,0
STU-01756,6,2.74,2.81,4,55.94,8,23.57,4.94,1
STU-00708,9,4.61,0.7,13,82.27,22,2.02,2.56,0
STU-00094,10,3.9,0.59,9,78.54,19,0.12,1.79,0
STU-00057,10,5.3,0.12,14,95.02,21,3.79,1.62,0
STU-00219,12,4.29,0.09,9,78.11,17,1.71,0.72,0
STU-01037,7,2.91,2.82,3,54.21,6,31.15,3.49,1
STU-01294,5,2.73,2.24,2,68.85,8,20.98,5.28,1
STU-01953,0,1.5,6.88,1,29.2,3,69.87,8.89,2
STU-01450,6,1.58,3.7,5,61.63,5,16.15,3.78,1
STU-02360,3,0.0,8.89,0,28.02,2,69.75,9.09,2
STU-01466,6,3.5,2.73,3,64.3,9,22.05,4.63,1
STU-00299,12,4.44,0.59,10,89.15,17,1.27,2.17,1
STU-02178,1,1.43,7.49,0,44.27,1,71.02,8.89,2
STU-00179,14,4.18,0.19,13,84.8,18,1.02,1.53,0
STU-01188,7,2.18,2.53,2,67.97,7,30.65,4.07,1
STU-01473,6,2.23,3.33,4,65.52,8,27.06,5.19,1
STU-00189,13,3.69,0.32,15,82.39,22,5.53,2.14,0
STU-00573,10,3.6,0.1,10,82.57,20,0.75,1.96,0
STU-00434,9,4.71,0.2,9,93.05,14,1.67,1.42,0
STU-00519,10,5.0,0.14,8,81.42,15,3.15,2.33,0
STU-02347,0,0.31,6.73,1,28.33,3,48.11,8.43,2
STU-02272,1,1.01,8.44,0,29.87,1,72.13,9.96,2
STU-01085,4,1.97,2.71,5,58.13,6,31.26,5.73,1
STU-01289,7,3.45,2.53,3,68.4,8,28.27,5.07,1
STU-01124,6,3.14,3.55,5,61.05,7,27.81,5.16,1
STU-01342,5,2.82,3.99,2,59.34,5,21.01,5.04,1
STU-02257,3,1.5,8.47,0,22.96,3,49.27,8.57,2
STU-01491,5,1.93,3.0,2,65.9,9,23.85,5.04,0
STU-00044,14,4.26,0.76,15,87.41,14,4.09,0.63,0
STU-01879,2,0.77,6.45,0,43.27,1,57.44,8.36,2
STU-00451,10,3.0,1.11,11,85.68,18,5.22,2.01,0
STU-02046,2,0.42,9.77,1,36.43,3,63.98,10.2,2
STU-00045,10,4.95,0.7,7,88.99,21,4.57,1.75,0
STU-01284,5,2.34,4.86,5,56.78,5,26.08,5.92,1
STU-01968,2,0.14,7.31,1,30.29,1,56.94,8.66,2
STU-02091,1,1.5,8.73,1,31.82,1,53.4,9.76,2
STU-00255,10,4.87,0.28,10,78.69,17,4.11,2.85,0
STU-01946,1,1.5,7.39,1,37.08,0,66.58,8.84,2
STU-01875,7,3.19,4.23,2,70.76,7,21.24,3.71,2
STU-01863,7,3.01,3.67,4,57.79,5,20.44,4.58,1
STU-00565,10,4.42,0.13,15,88.69,19,0.7,2.71,0
STU-00213,9,4.88,0.4,14,96.89,16,1.53,1.47,0
STU-00867,9,4.13,0.48,14,96.88,16,1.69,1.85,0
STU-00743,13,4.66,0.05,7,90.6,21,1.88,3.0,0
STU-01252,5,2.07,2.72,2,65.6,10,17.93,4.1,1
STU-01048,5,2.46,3.06,2,63.1,5,27.91,3.5,1
STU-01737,5,2.18,2.86,4,70.67,8,23.2,4.36,1
STU-01018,7,2.48,3.66,5,63.54,10,29.78,5.08,1
STU-00171,10,4.62,0.69,9,86.08,19,1.27,2.07,1
STU-02097,1,0.66,6.74,1,38.49,2,71.08,8.18,2
STU-02488,0,1.5,7.59,0,40.43,0,55.39,8.65,2
STU-02218,2,0.19,8.28,0,38.32,3,64.58,9.66,2
STU-01798,4,2.65,2.52,5,66.3,6,32.14,5.91,1
STU-00545,13,5.11,0.38,9,91.63,22,0.62,2.86,0
STU-01222,6,2.98,3.71,2,61.36,6,20.07,5.92,1
STU-00464,12,4.45,0.14,13,89.22,19,1.04,2.17,0
STU-00989,10,5.69,0.46,12,82.01,21,2.34,2.16,1
STU-01322,6,1.91,2.96,5,63.94,10,25.55,4.67,1
STU-00603,11,5.12,0.02,7,88.76,18,1.57,0.94,0
STU-01337,7,1.84,2.48,5,59.35,8,35.33,3.42,1
STU-02340,0,0.17,7.73,1,27.26,2,47.65,8.28,2
STU-01261,5,2.22,3.43,4,67.1,7,21.26,4.54,1
STU-02115,3,0.13,7.57,1,19.14,2,58.17,10.36,2
STU-00808,9,4.03,0.09,9,83.65,18,1.02,2.26,0
STU-00887,12,4.45,0.37,8,91.45,21,0.7,1.71,0
STU-01583,5,3.07,3.36,4,60.69,6,31.1,5.23,1
STU-01615,4,3.08,3.11,3,55.6,6,22.27,4.96,1
STU-01838,5,1.77,4.21,5,57.76,5,19.92,4.51,1
STU-01874,7,2.27,3.49,3,66.26,10,30.33,5.38,1
STU-00283,10,5.24,0.66,14,92.98,18,0.52,2.44,0
STU-00211,14,3.68,0.1,10,90.73,16,2.84,1.75,0
STU-00112,14,5.08,0.02,10,84.19,19,0.58,2.02,0
STU-01921,1,0.06,7.2,0,39.03,0,66.69,8.75,2
STU-02166,2,1.5,6.0,0,41.76,1,72.71,9.81,2
STU-00458,11,3.15,0.44,15,87.0,19,0.77,1.42,0
STU-00820,9,4.36,0.34,13,82.46,18,6.2,1.93,0
STU-02185,0,1.5,7.32,1,49.38,0,72.49,9.75,2
STU-01656,7,2.71,3.63,3,58.77,10,22.34,4.67,1
STU-00253,11,5.09,0.11,12,84.51,21,3.92,1.62,0
STU-00252,10,4.47,0.46,13,83.56,18,0.49,2.09,0
STU-01540,4,2.71,2.08,2,67.81,6,19.11,4.47,1
STU-02130,3,0.31,6.61,1,32.23,3,67.88,9.5,2
STU-01927,1,1.5,6.48,1,22.53,1,46.89,9.09,1
STU-01019,6,2.99,4.3,4,62.15,8,28.32,5.12,1
STU-00423,14,4.5,0.29,13,89.81,21,0.35,2.12,0
STU-01176,4,3.04,3.85,2,71.17,6,29.83,4.38,1
STU-00621,12,4.36,0.13,15,96.53,16,1.29,2.09,0
STU-00174,14,5.15,0.65,15,88.04,17,1.17,1.57,0
STU-00487,11,5.5,0.64,15,82.99,17,2.52,2.22,0
STU-01986,3,0.57,8.28,0,38.65,2,60.88,10.42,2
STU-01081,6,2.93,3.06,5,65.0,8,20.93,3.93,1
STU-01118,4,2.46,2.24,3,59.38,10,23.21,5.98,1
STU-01358,4,2.89,4.09,2,61.47,5,27.17,4.48,1
STU-01042,6,3.35,2.64,4,73.11,7,27.56,5.33,1
STU-01091,6,1.5,4.41,4,70.64,7,25.68,3.26,1
STU-01356,4,2.82,3.36,2,64.64,7,16.37,5.67,1
STU-00212,9,4.18,0.19,10,90.17,18,1.46,1.24,0
STU-00614,11,4.59,0.03,15,90.54,18,3.46,1.25,0
STU-02150,3,0.56,7.23,0,34.02,2,79.73,9.33,2
STU-00465,14,4.4,0.19,9,94.18,18,1.57,1.09,0
STU-01468,4,2.79,3.16,3,60.57,10,17.65,4.29,1
STU-00555,11,4.82,0.17,11,87.48,21,0.13,2.35,0
STU-00908,14,4.29,0.27,11,85.48,21,0.99,1.73,0
STU-00994,9,4.95,0.22,13,84.2,18,2.37,1.31,0
STU-01969,2,0.87,9.05,0,42.48,2,67.03,9.65,2
STU-01789,6,2.2,3.09,5,60.9,9,28.24,4.72,1
STU-01599,6,2.1,2.0,5,67.76,6,19.26,3.13,1
STU-00097,14,4.73,0.48,10,87.26,14,0.96,1.83,0
STU-01965,0,1.5,7.81,1,40.48,0,66.7,7.9,2
STU-01365,6,2.9,3.95,4,58.9,6,29.73,4.16,1
STU-01925,0,0.15,6.88,0,44.02,2,65.94,7.0,2
STU-00612,12,5.17,0.04,10,83.19,21,1.93,2.03,0
STU-00446,9,4.62,0.01,14,91.2,18,2.31,1.28,0
STU-00238,13,4.91,0.16,14,82.09,17,1.56,0.61,0
STU-02311,1,0.53,7.03,0,24.36,0,55.76,8.29,2
STU-00874,13,5.0,0.59,10,84.75,15,1.53,1.89,0
STU-02498,0,0.21,7.56,1,26.13,2,60.08,10.34,2
STU-02055,3,0.18,8.78,0,36.87,2,58.14,7.78,2
STU-01674,6,2.45,4.68,4,70.46,8,16.87,4.27,1
STU-02123,0,1.23,6.0,1,31.13,0,66.16,10.29,2
STU-00840,14,4.88,0.11,9,88.38,16,1.92,1.73,0
STU-00582,13,4.26,0.32,8,92.06,18,0.48,2.22,0
STU-01282,7,2.73,2.94,5,57.48,5,29.74,4.86,1
STU-00980,12,3.49,0.04,8,89.75,19,2.12,1.74,0
STU-00791,13,5.06,0.74,11,85.23,14,1.14,1.4,0
STU-00842,9,4.46,0.39,15,86.16,18,0.91,1.51,0
STU-00483,13,4.21,0.06,9,86.23,17,1.98,2.05,0
STU-01911,1,0.03,8.32,0,39.24,3,57.76,10.92,2
STU-00622,9,5.5,0.26,10,88.26,18,1.43,1.87,0
STU-01503,7,2.49,2.79,2,61.58,10,17.55,3.12,1
STU-00333,11,4.83,0.34,15,84.78,19,0.9,2.33,0
STU-00479,12,4.51,0.07,14,86.48,21,1.37,1.46,0
STU-01495,6,1.66,2.4,2,61.76,6,23.13,4.83,1
STU-00508,12,5.63,1.2,11,81.11,15,0.69,2.18,0
STU-01451,6,2.28,2.92,4,63.45,6,28.38,3.2,1
STU-02424,3,0.13,6.27,0,38.91,2,65.68,10.38,2
STU-00644,14,5.55,0.94,14,94.53,14,0.86,1.45,0
STU-00481,13,4.06,0.02,8,86.86,14,1.69,2.02,0
STU-01456,6,3.1,3.04,2,62.11,5,29.27,3.52,1
STU-02395,0,1.5,8.02,1,35.05,0,53.17,8.55,2
STU-01012,6,2.41,4.09,4,56.73,7,23.71,3.0,1
STU-00765,14,4.07,0.03,7,82.79,17,3.91,2.01,0
STU-01290,5,2.24,2.35,5,59.92,10,27.63,3.64,1
STU-01224,4,2.87,2.65,3,63.42,8,16.26,4.24,1
STU-01334,7,3.47,2.62,4,57.73,9,27.43,4.52,1
STU-00618,14,5.22,0.35,11,90.41,18,1.0,2.03,0
STU-00522,14,5.01,0.04,9,87.61,18,0.08,0.74,0
STU-00583,9,3.65,0.27,8,89.08,16,1.32,1.88,0
STU-01059,5,3.14,3.49,2,56.98,10,26.16,5.04,1
STU-01407,6,2.73,2.86,4,64.42,9,16.43,4.22,1
STU-00297,9,3.62,0.23,8,91.76,18,0.21,1.8,1
STU-02443,1,0.19,7.9,1,35.0,0,80.0,7.0,2
STU-01062,7,2.21,4.2,4,59.25,6,25.07,4.73,1
STU-00858,11,4.89,1.2,10,90.27,14,3.24,2.29,0
STU-01693,7,2.5,3.03,4,58.69,8,24.11,5.14,1
STU-00408,9,3.83,0.03,12,89.48,22,0.94,1.42,0
STU-01079,5,2.54,3.99,4,62.09,10,29.5,3.32,1
STU-01084,4,2.76,3.42,2,65.75,6,35.44,3.9,2
STU-00169,10,3.91,0.21,8,81.07,20,1.25,1.96,0
STU-02181,0,0.99,7.75,1,32.91,1,80.0,8.81,2
STU-00240,10,3.85,0.5,13,88.63,14,7.42,1.81,0
STU-02306,1,0.25,7.93,0,26.58,1,52.19,8.73,2
STU-01998,2,0.27,7.33,0,43.12,0,61.29,11.23,2
STU-01902,3,0.91,8.93,1,28.98,0,59.56,9.16,2
STU-01051,5,2.72,3.62,3,62.94,8,19.63,4.15,1
STU-01913,2,0.36,7.44,0,42.43,3,66.79,10.65,1
STU-01868,7,2.12,3.26,2,62.75,5,21.49,3.54,1
STU-02096,0,0.03,6.83,1,39.13,3,65.77,7.77,2
STU-00523,14,3.96,0.14,13,91.13,17,0.99,1.25,0
STU-01738,7,2.73,2.48,5,64.28,6,16.06,5.94,1
STU-02473,0,1.05,8.88,1,37.41,3,60.78,8.69,2
STU-01848,5,2.48,2.8,2,62.66,6,33.66,3.82,1
STU-02369,1,0.19,6.0,1,37.1,3,50.56,7.0,2
STU-02250,1,0.67,9.78,0,31.54,1,57.03,10.49,2
STU-01884,2,0.09,9.07,1,34.12,1,62.66,9.48,2
STU-01512,7,3.24,3.15,4,60.29,7,22.74,3.87,1
STU-01460,4,2.41,4.59,5,58.12,7,19.33,5.01,1
STU-01939,3,0.31,7.47,1,30.53,0,71.8,9.33,2
STU-01724,4,2.38,4.57,5,62.46,9,29.2,4.52,1
STU-02026,0,0.85,7.3,1,21.37,0,73.22,9.55,2
STU-01608,4,2.17,3.46,4,67.11,9,29.83,4.3,1
STU-01978,0,1.09,7.79,1,26.79,1,71.2,8.93,2
STU-00509,9,4.23,0.31,12,94.42,19,0.53,0.99,0
STU-00633,13,4.47,0.34,12,91.03,21,3.6,2.01,0
STU-00916,9,4.48,0.29,8,81.45,17,0.8,1.65,0
STU-00260,11,3.79,0.16,15,85.8,15,3.77,1.58,0
STU-01396,4,2.22,3.6,5,64.83,5,19.71,4.45,1
STU-02296,1,0.36,8.23,0,37.64,2,52.94,7.72,2
STU-02322,1,1.2,7.16,1,33.21,1,60.72,8.63,1
STU-00803,14,4.19,0.61,8,84.61,14,2.05,1.67,0
STU-01936,2,1.14,7.89,0,20.78,3,59.89,9.41,1
STU-01197,4,2.54,3.59,4,63.58,10,18.35,4.94,1
STU-01945,0,1.01,6.73,1,33.79,1,62.28,7.61,2
STU-00757,9,4.7,0.1,9,89.26,20,2.09,1.51,0
STU-00802,14,4.5,0.04,14,87.16,17,0.46,1.6,0
STU-00234,9,3.98,0.05,13,87.51,20,0.85,1.84,0
STU-01515,5,2.21,4.13,2,67.2,7,23.43,5.1,1
STU-00941,9,4.87,0.37,13,89.56,17,3.03,1.45,0
STU-00999,13,3.88,0.17,7,93.67,16,1.44,2.19,0
STU-01103,6,2.88,3.35,4,68.17,6,26.42,4.41,1
STU-01464,6,2.43,3.79,2,65.2,5,19.59,5.12,1
STU-01877,1,1.14,8.24,1,36.54,1,65.22,9.74,2
STU-01226,4,1.79,3.9,2,62.69,8,15.31,4.56,1
STU-00325,13,4.94,0.49,15,83.47,22,3.73,1.41,0
STU-01764,4,2.0,3.99,4,60.11,6,23.78,3.73,1
STU-01954,0,1.5,8.13,0,32.31,1,52.18,7.95,2
STU-01378,7,2.42,4.89,3,61.62,6,23.6,4.16,1
STU-00101,14,4.45,0.03,8,92.33,15,2.22,1.62,0
STU-02482,2,0.56,6.76,0,33.96,0,52.93,8.64,2
STU-01341,5,2.21,2.81,2,64.43,6,27.86,5.66,1
STU-00388,13,3.87,0.4,12,90.14,21,5.47,0.83,0
STU-01955,2,0.06,7.12,0,40.67,3,59.36,7.6,1
STU-00180,11,3.56,0.23,9,88.89,20,0.47,0.93,1
STU-01695,7,2.15,2.0,5,57.96,10,26.84,4.2,1
STU-01663,7,2.37,4.25,5,66.89,7,27.47,5.43,1
STU-01305,6,3.11,3.03,4,59.87,9,27.9,3.76,1
STU-00928,10,5.19,0.67,12,91.84,14,3.15,2.63,0
STU-01431,7,2.05,3.91,2,63.5,8,31.7,3.03,1
STU-02269,0,1.24,6.86,1,33.13,3,65.66,10.26,2
STU-00142,13,3.55,0.19,12,78.61,15,0.48,2.73,0
STU-00369,14,4.6,0.33,14,87.09,17,2.11,1.49,0
STU-02446,3,0.04,8.33,0,41.99,2,76.14,9.97,2
STU-01086,4,2.75,4.7,4,54.84,9,30.27,3.03,0
STU-00368,13,5.36,0.12,13,93.4,20,1.42,2.12,0
STU-01675,6,3.27,3.33,5,52.56,9,19.94,5.25,1
STU-01045,5,2.62,2.4,2,66.11,8,15.85,4.4,1
STU-00319,14,3.69,0.47,15,89.36,16,2.24,2.04,0
STU-01539,7,2.65,2.12,5,64.11,9,29.28,4.94,1
STU-00248,14,4.87,0.62,11,82.07,22,0.06,2.59,1
STU-00322,11,3.82,0.33,9,84.64,22,1.15,1.89,0
STU-01834,7,2.2,3.67,4,67.15,8,17.72,3.71,1
STU-01840,4,1.81,2.69,5,64.08,5,21.04,5.27,1
STU-01000,11,4.34,0.45,9,88.65,15,1.49,1.99,0
STU-00943,9,3.0,0.24,10,93.61,20,1.45,1.59,0
STU-01773,4,2.67,4.05,5,67.52,5,23.36,4.37,1
STU-00030,11,4.44,0.04,12,89.93,19,0.71,2.4,0
STU-01300,5,2.08,4.27,2,64.33,6,27.44,3.8,1
STU-01994,0,1.04,8.59,0,43.01,2,68.22,9.0,2
STU-01915,0,0.26,7.34,1,32.5,0,44.1,10.65,2
STU-00696,10,4.41,0.23,10,92.42,18,1.16,1.13,0
STU-02471,1,1.01,6.78,0,41.01,2,77.52,10.73,2
STU-02029,2,1.5,8.01,0,39.25,0,67.43,8.82,2
STU-01601,5,1.65,3.31,4,63.87,9,25.48,5.12,1
STU-02330,3,0.8,9.01,1,37.98,2,67.33,8.71,2
STU-01232,7,2.02,2.5,5,72.37,6,24.99,4.73,1
STU-02174,3,0.05,8.52,1,23.94,3,71.87,10.09,2
STU-01916,2,1.36,7.67,0,41.47,3,67.59,8.06,2
STU-01730,7,2.52,3.67,5,63.29,8,27.01,4.98,1
STU-01707,6,2.37,2.71,3,53.05,8,25.39,4.09,1
STU-01704,6,3.5,3.73,4,63.93,7,28.86,4.22,1
STU-00756,9,4.45,0.01,12,95.72,15,4.0,1.84,0
STU-01331,7,1.84,4.07,3,68.33,7,23.5,4.32,1
STU-00354,14,3.14,0.11,13,90.43,15,0.43,1.86,0
STU-00209,13,4.36,0.07,10,88.52,20,0.69,2.59,0
STU-02145,3,1.44,8.44,1,29.93,2,76.82,9.84,2
STU-00904,9,3.86,0.29,9,82.94,21,0.26,2.62,0
STU-00953,11,4.96,0.7,11,80.82,16,0.49,1.22,0
STU-01338,5,2.29,3.27,3,68.37,5,23.46,4.31,2
STU-01552,6,2.16,2.62,3,70.46,7,23.78,4.41,1
STU-01568,6,3.5,2.77,5,62.08,6,32.9,3.91,1
STU-01944,3,0.24,8.93,0,29.06,0,58.51,8.32,1
STU-00486,11,4.61,0.48,13,82.3,14,0.63,1.47,0
STU-01630,7,2.2,3.03,2,73.9,9,29.56,3.73,1
STU-02040,0,0.03,6.05,1,30.35,1,76.18,8.48,2
STU-00200,10,4.23,0.01,9,89.33,17,0.89,2.31,0
STU-00230,11,4.79,0.04,12,86.13,14,7.74,0.93,0
STU-00811,9,4.8,0.32,12,84.06,15,0.85,2.27,0
STU-00788,12,4.73,0.15,14,94.12,17,2.45,1.51,0
STU-00411,13,3.87,0.36,10,80.52,22,7.57,1.68,0
STU-00630,9,4.38,0.1,11,88.02,21,1.34,1.42,0
STU-01511,4,2.95,3.25,4,74.0,6,16.96,3.37,1
STU-00663,14,4.67,0.63,9,94.16,14,2.01,1.85,0
STU-02143,2,0.34,7.42,1,41.38,0,66.07,9.35,2
STU-01919,2,0.27,6.51,1,28.83,0,56.8,8.09,1
STU-02335,1,0.94,8.02,0,32.85,1,77.77,9.66,2
STU-01270,4,2.73,2.14,5,63.53,7,15.0,4.26,1
STU-00070,10,4.92,0.33,11,91.08,15,0.21,1.71,0
STU-00444,13,4.79,0.15,13,96.11,17,3.37,2.01,0
STU-02148,3,0.23,8.18,1,39.9,2,62.4,9.02,2
STU-02242,3,1.5,7.85,0,34.49,2,66.07,8.72,2
STU-01585,4,3.15,3.57,5,57.34,7,22.27,4.63,1
STU-00232,12,3.39,0.14,9,86.92,19,0.76,2.1,0
STU-00441,12,5.1,0.01,15,90.88,15,3.45,0.78,0
STU-01628,6,3.0,3.73,5,60.88,7,30.09,4.62,1
STU-01323,5,2.48,3.52,5,58.07,8,23.58,4.66,0
STU-01279,7,3.01,3.58,2,70.15,6,34.51,3.24,1
STU-00818,12,4.49,0.32,7,90.63,17,3.43,1.32,0
STU-00600,13,3.96,0.04,10,86.65,18,2.42,1.6,0
STU-01057,6,2.75,2.96,4,54.73,8,21.16,4.67,1
STU-00415,12,5.24,0.62,9,94.54,22,1.91,1.77,0
STU-00680,9,4.45,1.2,8,96.11,15,1.08,1.96,0
STU-01519,5,2.13,3.68,2,59.55,9,22.31,4.5,1
STU-01117,7,2.4,3.12,4,62.74,6,15.0,4.52,1
STU-00280,14,3.36,0.11,15,87.9,16,1.26,2.02,0
STU-01386,7,2.09,3.1,4,54.07,7,16.1,5.23,1
STU-00409,12,3.91,1.15,8,86.69,19,0.98,2.11,0
STU-01092,5,2.39,4.45,5,60.18,8,16.21,5.6,2
STU-02283,3,1.12,7.05,0,24.63,0,77.86,9.32,1
STU-01217,5,1.64,2.73,4,69.95,8,24.48,4.61,1
STU-02079,3,0.2,6.33,0,28.74,2,53.11,9.69,2
STU-00499,12,4.3,0.07,8,86.54,14,1.25,1.78,0
STU-01709,4,2.87,3.23,5,63.23,6,20.51,4.52,1
STU-02027,0,0.71,8.38,0,32.04,0,71.45,7.37,2
STU-00790,10,3.7,0.2,11,78.76,22,0.56,1.54,0
STU-01071,5,2.45,2.0,3,61.08,10,22.74,4.37,1
STU-02266,0,0.51,6.11,1,21.33,2,63.3,11.72,2
STU-00436,13,4.67,0.4,15,78.79,21,1.8,1.6,0
STU-02044,0,0.77,7.9,0,41.31,3,63.88,9.45,2
STU-01880,2,0.5,6.0,0,47.87,2,47.44,7.86,2
STU-00783,11,3.63,0.43,13,86.35,16,2.36,2.18,0
STU-01477,4,2.29,3.8,2,68.45,10,19.02,4.26,1
STU-01832,6,2.38,3.9,4,63.26,9,24.21,4.35,1
STU-01837,7,2.03,3.46,2,74.0,8,22.7,4.31,1
STU-00150,10,4.38,0.09,8,91.47,15,1.98,1.59,0
STU-01195,6,1.95,2.26,5,55.51,7,23.31,3.0,1
STU-02452,1,0.19,8.21,0,39.36,0,70.89,11.16,2
STU-01242,5,3.05,3.39,2,60.19,8,25.83,5.4,0
STU-01056,4,2.41,2.48,4,64.74,5,23.42,4.05,2
STU-01770,4,2.16,3.15,4,62.52,10,19.76,3.41,1
STU-01690,6,3.28,3.82,2,70.26,6,24.37,4.81,1
STU-02094,3,1.5,10.0,0,35.63,2,64.44,8.73,2
STU-02193,3,1.5,7.02,1,31.14,3,53.73,9.48,1
STU-01930,0,0.67,7.82,1,32.01,3,66.73,9.26,2
STU-00164,12,3.49,0.5,8,89.18,16,1.58,1.4,0
STU-00439,11,4.86,0.79,14,84.27,20,0.91,1.41,1
STU-01026,7,3.31,3.72,3,74.0,6,15.0,4.13,1
STU-01383,7,2.58,2.88,5,74.0,5,22.02,3.4,1
STU-01979,3,0.19,6.54,0,31.78,2,78.64,7.28,1
STU-00830,10,4.46,0.16,10,87.88,15,0.78,2.06,0
STU-00655,12,5.12,0.84,10,84.87,16,2.63,1.8,0
STU-00529,14,4.19,0.89,9,92.42,19,4.38,0.5,0
STU-01134,6,1.59,2.0,3,59.83,7,23.88,3.0,1
STU-00050,11,3.99,0.36,10,89.57,19,1.43,1.57,0
STU-00068,13,4.66,0.35,11,85.33,14,1.54,2.61,0
STU-02017,1,0.71,7.12,1,29.01,3,69.72,9.31,2
STU-01371,4,2.52,3.06,2,54.79,6,35.77,5.52,1
STU-02271,3,0.19,7.77,1,38.67,3,55.01,8.31,2
STU-00049,10,5.17,0.03,12,87.34,20,4.9,2.34,0
STU-01335,7,1.79,2.95,2,56.77,8,22.94,4.0,1
STU-01682,5,3.05,3.45,2,67.35,7,29.66,4.26,1
STU-00839,10,4.91,0.8,11,78.0,16,3.83,1.71,0
STU-02163,1,1.12,7.79,1,45.29,2,59.26,9.63,2
STU-00125,9,3.98,1.2,12,97.01,18,2.16,1.3,0
STU-00611,9,3.9,0.19,15,99.36,16,0.88,2.15,0
STU-01861,4,2.51,3.48,3,68.47,8,25.97,4.63,1
STU-02333,1,0.46,8.88,1,45.48,0,72.54,10.98,2
STU-01513,6,2.45,3.5,5,64.7,10,17.71,3.26,1
STU-00742,12,5.16,1.2,15,93.75,16,0.08,2.09,0
STU-00026,13,4.4,0.87,15,99.06,21,0.72,0.92,0
STU-02389,1,0.67,6.0,0,33.9,0,73.54,10.36,2
STU-01753,7,2.7,2.89,5,70.66,10,26.58,5.09,1
STU-01534,6,2.81,2.29,3,62.85,5,19.02,3.0,1
STU-01816,7,2.28,2.84,4,56.7,10,22.79,4.59,1
STU-01617,5,2.85,2.8,4,63.65,6,17.69,4.6,1
STU-01455,7,2.55,2.73,4,63.9,5,19.7,4.77,1
STU-00566,13,4.5,0.42,9,89.54,16,1.5,1.79,0
